a	indef art one
amiable	adj. showing and inspiring friendliness; pleasant and good-tempered
amicability	n. amicably
amicable	 adj. showing friendliness; without hostility
amid	 prep in the middle of (sth); among .;
amiss	wrong(ly); inappropriate(ly)
amity	n. friendly relationship between people or countries
ammeter	n. instrument that measures electric current in amperes
ammonia	colourless gas with a strong smell, used in refrigerators and for making explosives
amnesia	n. partial or total loss of memory
amnesty	n. general pardon, esp for offences against the State
amok	 adv. run amok rush about in a wild and angry frenzy
among	surrounded by (sb/sth) .
amongst	prep. =among,surrounded by
amoral	 adj. not based on moral standards; not following any moral rules ;
amorous	adj. readily showing or feeling love; relating to love
amorphous	adj. having no definite shape or form; not organized
amorphousness	[ amorphous: ] lacking a definite shape; formless
amortize	 end (a debt) by setting aside money
amount	 v. ~ to sth add up to or total sth
amour	n. (esp secret) love affair
ampere	 n. unit for measuring electric current .
ampersand	`and'
amphibian	animal able to live both on land and in water
amphibious	living or operating both on land and in water
amphitheater	 oval building with tiers of seats
ample	enough
amplification	n.
amplified	[ amplify: ] vt. to increase in size, extent, effect, etc., as by the addition of extra material; augment; enlarge; expand
amplifier	n. device for amplifying
amplify	increase (sth) in size or strength
amplitude	breadth; largeness; abundance ;
amply	adv: amply fed, furnished, provided for, rewarded ,
amputate	 v. cut off by surgical operation
amulet	 n. piece of jewellery, etc worn as a charm1(
amuse	make laugh or smile
amused	 [ amuse: ] to keep pleasantly occupied; entertain; divert
amusement	thing that makes time pass pleasantly
amusing	adj. causing laughter or smiles; enjoyable
anachronism	mistake of placing sth in the wrong historical period
anachronistic	adj.
anaerobic	adj. living, active, occurring, or existing in the absence of free oxygen
anagram	n. word or phrase made by rearranging the letters of another word or phrase
analgesia	n. loss of ability to feel pain while still conscious
analgesic	adj. n substance that relieves pain
analogous	adj. ~ partially similar or parallel; offering an analogy
analogue	 n. thing that is similar to another thing
analogy	~ partial similarity between two things that are compared
analyse	separate into its parts in order to study its nature or structure
analysis	 n. study of sth by examining its parts and their relationship
analyst	person skilled in making analyses
analytic	adjs of or using analysis ;
analytical	 [ analytic: ] relating to analysis
analyze	To examine minutely or critically.
anarchic	adjs
anarchist	n. person who believes in anarchism
anarchy	absence of government or control in society; lawlessness
anathema	detested person or thing
anathematize	 declare to be evil or anathema
anatomical	 adj.
anatomy	scientific study of the structure of animal bodies
ancestor	any of the people from whom sb is descended, esp those more remote than his grandparents; forefather
ancestral	adj. belonging to or inherited from one's ancestors
ancestry	 n. line of ancestors
anchor	heavy metal device attached to a rope, chain, etc and used to moor a ship or boat to the sea-bottom or a balloon to the ground
anchorite	n. hermit or religious recluse
ancient	belonging to times long past
ancillary	adj. ~ helping in a subsidiary way
and	also; in addition to
andiron	n. iron support for holding logs in a fireplace
anecdotal	adj. anecdotal memoirs
anecdote	 n. short, interesting or amusing story about a real person or event ,
anemia	 condition in which blood lacks red corpuscles
anemic	 lacking force, vitality, or spirit
anemometer	 n. instrument for measuring the force of the wind
anesthesia	 = anaesthesia, anaesthetic
anesthetic	 = anaesthesia, anaesthetic
anew	 adv. in a new or different way; again
angel	messenger or attendant of God
angelic	adj. of or like an angel
angelically	adv: The children behaved angelically
anger	strong feeling of displeasure and hostility
angle	space between two lines or surfaces that meet
Anglophobe	 n. person who hates or fears England or English things
Anglophobia	n. hatred or fear of England or English things
Anglo-Saxon	person of English descent
angry	adj. ~ (with sb) (at/about sth) filled with anger
angst	n. feeling of anxiety, guilt or remorse, esp about the state of the world ,
anguish	n. severe physical or mental pain
anguished	adj. feeling or expressing anguish
angular	having angles or sharp corners
angularity	 n.
anhydrous	free from water and especially water of crystallization
animadversion	n. criticism
animadvert	 v. ~ (fml ) make (esp critical) remarks about sb/sth
animal	living thing that can feel and move voluntarily
animalcule	 n. microscopically small animal
animate	adj. living; having life
animated	lively
animatedly	 [ animated: ] full of vivacity and spirit; lively
animation	liveliness; vivacity
animosity	n. ~ ~ (between A and B) (instance of) strong dislike or of hostility
animus	animosity shown in speech or action
ankle	joint connecting the foot with the leg
annalist	 n. person who writes annals
annals	 n. story of events year by year; historical records
anneal	 v. make tough by cooling slowly after heating
annex	take possession of
annexation	 n. act of annexing
annihilate	 v. destroy completely
annihilation	 n. complete destruction
anniversary	n. yearly return of the date of an event; celebration of this
annotate	 v. add notes to giving explanation or comment
annotated	[ annotate: ] 'anno"tatable adjective
annotation	action or process of annotating
announce	make known publicly
announced	[ announce: ] v. to make known publicly; proclaim
announcement	 n. statement in spoken or written form that makes sth known
announcer	n. person who announces speakers, singers, programmes, etc, esp on radio or TV ,
annoy	cause slight anger to (sb); irritate
annoyance	being annoyed
annoyed	adj. ~ (at/about sth); ~ (that.../to do sth) rather angry
annoying	 adj. causing slight anger or irritation
annual	happening every year
annually	 adv: The exhibition is held annually
annuity	fixed sum of money paid to sb yearly, usu for the remaining part of his lifetime
annul	v. declare (sth) no longer valid; abolish; cancel
annunciation	 n. the Annunciation (festival held on 25 March to commemorate) the announcement to Mary that she was to be the mother of Christ , ; 325
anode	positive electrode by which an electric current enters a device
anodize	to coat (a metal, such as aluminium or magnesium) with a protective oxide film by electrolysi
anodyne	that can relieve pain
anoint	~ sb apply oil or ointment to sb (esp as a religious ceremony)
anomalous	adj. different from what is normal; irregular
anomaly	n. anomalous thing; irregularity
anonymity	n. state of being anonymous
anonymous	with a name that is not known or not made public
anorexia	loss of the wish to eat
another	an additional
answer	 n. ~ thing said, written or done as a response or reaction; reply
ant	any of several types of very small insect that live in highly organized groups and work very hard
antagonism	 n~ ~ (between A and B) (instance of) active opposition or hostility, esp between two people
antagonist	 n. person who actively opposes sb/sth; adversary ;
antagonistic	 adj. ~ showing or feeling antagonism; hostile
antagonize	 to incur or provoke the hostility of
antarctic	adj. of the regions around the South Pole .
ante	 n. stake in poker2, etc that a player must make before receiving new cards
antecede	 be earlier in time; go back further
antecedence	n. priority
antecedent	thing or circumstance that is or comes before another
antecedents	ancestr
antechamber	n. = ante-room
antedate	put an earlier date on than the one at the time of writing
antediluvian	of the time before Noah's Flood
antenatal	adj. existing or occurring before birth; pre-natal
antenna	n. either of a pair of flexible sensitive organs on the heads of insects, crustaceans, etc; feeler
anterior	 adj. coming before in position or time; nearer the front ;
anteroom	 A room situated before and opening into another, usually larger.
anthem	 n. short musical composition, usu for a choir and an organ, to be sung in religious services, often with words taken from the Bible ,
anthology	n. collection of poems or pieces of prose on the same subject or by the same writer
anthracite	 n. very hard form of coal that burns with little smoke or flame
